Error,Wind,dError_fixed,Correction
-1.5,-6,0,0.75
-1.5,-5.5,0,0.75
-1.5,-5,0,0.75
-1.5,-4.5,0,0.75
-1.5,-4,0,0.75
-1.5,-3.5,0,0.75
-1.5,-3,0,0.75
-1.5,-2.5,0,0.75
-1.5,-2,0,0.75
-1.5,-1.5,0,0.75
-1.5,-1,0,0
-1.5,-0.5,0,-0.473684
-1.5,0,0,-0.6
-1.5,0.5,0,-0.6
-1.5,1,0,1.11022e-16
-1.5,1.5,0,-0.75
-1.5,2,0,-0.75
-1.5,2.5,0,-0.75
-1.5,3,0,-0.75
-1.5,3.5,0,-0.75
-1.5,4,0,-0.75
-1.5,4.5,0,-0.75
-1.5,5,0,-0.75
-1.5,5.5,0,-0.75
-1.5,6,0,-2
-1.5,6.5,0,-2
-1.5,7,0,-2
-1.5,7.5,0,-2
-1.5,8,0,-2
-1.5,8.5,0,-2
-1.5,9,0,-2
-1.5,9.5,0,-2
-1.5,10,0,-2
-1,-10,0,2
-1,-9.5,0,2
-1,-9,0,2
-1,-8.5,0,2
-1,-8,0,2
-1,-7.5,0,0.75
-1,-7,0,0.75
-1,-6.5,0,0.75
-1,-6,0,0.75
-1,-5.5,0,0.75
-1,-5,0,0.75
-1,-4.5,0,0.75
-1,-4,0,0.75
-1,-3.5,0,0.75
-1,-3,0,0.75
-1,-2.5,0,0.75
-1,-2,0,0.75
-1,-1.5,0,0.75
-1,-1,0,-1.11022e-16
-1,-0.5,0,0
-1,0,0,0
-1,0.5,0,1.11022e-16
-1,1,0,0
-1,1.5,0,-0.75
-1,2,0,-0.75
-1,2.5,0,-0.75
-1,3,0,-0.75
-1,3.5,0,-0.75
-1,4,0,-0.75
-1,4.5,0,-0.75
-1,5,0,-0.75
-1,5.5,0,-0.75
-1,6,0,-2
-1,6.5,0,-2
-1,7,0,-2
-1,7.5,0,-2
-1,8,0,-2
-1,8.5,0,-2
-1,9,0,-2
-1,9.5,0,-2
-1,10,0,-2
-0.5,-10,0,2
-0.5,-9.5,0,4
-0.5,-9,0,4
-0.5,-8.5,0,4
-0.5,-8,0,4
-0.5,-7.5,0,3.72222
-0.5,-7,0,3.54545
-0.5,-6.5,0,3.11058
-0.5,-6,0,2.62229
-0.5,-5.5,0,2.15315
-0.5,-5,0,1.75
-0.5,-4.5,0,1.5
-0.5,-4,0,1.5
-0.5,-3.5,0,1.5
-0.5,-3,0,1.5
-0.5,-2.5,0,1.5
-0.5,-2,0,1.5
-0.5,-1.5,0,1.5
-0.5,-1,0,-1.11022e-16
-0.5,-0.5,0,0.0145161
-0.5,0,0,-0.05
-0.5,0.5,0,-0.102941
-0.5,1,0,1.11022e-16
-0.5,1.5,0,-1.5
-0.5,2,0,-1.5
-0.5,2.5,0,-1.5
-0.5,3,0,-1.5
-0.5,3.5,0,-1.5
-0.5,4,0,-1.5
-0.5,4.5,0,-1.5
-0.5,5,0,-1.5
-0.5,5.5,0,-1.5
-0.5,6,0,-1.91667
-0.5,6.5,0,-2.79386
-0.5,7,0,-3.54545
-0.5,7.5,0,-3.72222
-0.5,8,0,-4
-0.5,8.5,0,-4
-0.5,9,0,-4
-0.5,9.5,0,-4
-0.5,10,0,-2
0,-10,0,2
0,-9.5,0,4
0,-9,0,4
0,-8.5,0,4
0,-8,0,4
0,-7.5,0,3.8
0,-7,0,3.60784
0,-6.5,0,3.11058
0,-6,0,2.62229
0,-5.5,0,2.15315
0,-5,0,1.69737
0,-4.5,0,1.5
0,-4,0,1.5
0,-3.5,0,1.5
0,-3,0,1.5
0,-2.5,0,1.5
0,-2,0,1.5
0,-1.5,0,1.5
0,-1,0,-1.11022e-16
0,-0.5,0,0.0837469
0,0,0,0.0136364
0,0.5,0,-0.05
0,1,0,0
0,1.5,0,-1.5
0,2,0,-1.5
0,2.5,0,-1.5
0,3,0,-1.5
0,3.5,0,-1.5
0,4,0,-1.5
0,4.5,0,-1.5
0,5,0,-1.5
0,5.5,0,-1.5
0,6,0,-1.91667
0,6.5,0,-2.79386
0,7,0,-3.54545
0,7.5,0,-3.77941
0,8,0,-4
0,8.5,0,-4
0,9,0,-4
0,9.5,0,-4
0,10,0,-2
0.5,-10,0,2
0.5,-9.5,0,4
0.5,-9,0,4
