Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
1,5,3.61167,1.58335,-2.53838,0.724159,-1.81422,4.90838,1.50863,-8.95539,7.3094,5.20911,2.3413,-1.6262,1.5,-0.1262,7.25803,1.95056,-10.8348,3,1.61167,1.58335,-2.53838,0.724159,-1.81422,4.90838,1.50863,-8.95539,3.8453,1.96124,2.11574,-2.0792,1.5,-0.579198,6.5588,1.82786,-10.4659,7,5.61167,1.58335,-2.53838,0.724159,-1.81422,4.90838,1.50863,-8.95539,3.8453,1.96124,2.11574,-2.0792,1.5,-0.579198,6.5588,1.82786,-10.4659
1.05,5,3.79716,1.38833,-2.74048,0.446072,-2.29441,4.30383,1.5364,-8.58071,7.3094,5.44383,2.10029,-2.10103,1.5,-0.601028,6.51089,1.99256,-10.6045,3,1.79716,1.38833,-2.74048,0.446072,-2.29441,4.30383,1.5364,-8.58071,3.8453,2.18499,1.88406,-2.48798,1.13938,-1.34861,5.84058,1.86554,-10.1941,7,5.79716,1.38833,-2.74048,0.446072,-2.29441,4.30383,1.5364,-8.58071,3.8453,2.18499,1.88406,-2.48798,1.13938,-1.34861,5.84058,1.86554,-10.1941
1.1,5,3.97244,1.20284,-2.8725,0.217545,-2.65496,3.72879,1.56046,-8.16176,7.3094,5.67025,1.86557,-2.51446,1.04178,-1.47268,5.78327,2.02987,-10.3276,3,1.97244,1.20284,-2.8725,0.217545,-2.65496,3.72879,1.56046,-8.16176,3.8453,2.39948,1.66031,-2.79913,0.846666,-1.95246,5.14697,1.89875,-9.84484,7,5.97244,1.20284,-2.8725,0.217545,-2.65496,3.72879,1.56046,-8.16176,3.8453,2.39948,1.66031,-2.79913,0.846666,-1.95246,5.14697,1.89875,-9.84484
1.15,5,4.13707,1.02756,-2.94588,0.0278121,-2.91807,3.18543,1.58101,-7.71232,7.3094,5.88722,1.63915,-2.81826,0.812193,-2.00607,5.08138,2.06266,-9.9623,3,2.13707,1.02756,-2.94588,0.0278121,-2.91807,3.18543,1.58101,-7.71232,3.8453,2.60354,1.44582,-3.02775,0.523641,-2.50411,4.48205,1.92767,-9.43747,7,6.13707,1.02756,-2.94588,0.0278121,-2.91807,3.18543,1.58101,-7.71232,3.8453,2.60354,1.44582,-3.02775,0.523641,-2.50411,4.48205,1.92767,-9.43747
1.2,5,4.28959,0.862932,-2.97015,-0.625253,-3.5954,2.67509,1.59827,-7.2435,7.3094,6.09359,1.42218,-3.04693,0.491324,-2.55561,4.40876,2.0911,-9.5468,3,2.28959,0.862932,-2.97015,-0.625253,-3.5954,2.67509,1.59827,-7.2435,3.8453,2.79638,1.24176,-3.17682,0.262951,-2.91387,3.84946,1.9525,-8.97878,7,6.28959,0.862932,-2.97015,-0.625253,-3.5954,2.67509,1.59827,-7.2435,3.8453,2.79638,1.24176,-3.17682,0.262951,-2.91387,3.84946,1.9525,-8.97878
1.25,5,4.42959,0.710408,-2.89631,-0.970786,-3.86709,2.20226,1.61248,-6.71105,7.3094,6.28858,1.21581,-3.19594,0.232538,-2.9634,3.76901,2.11542,-9.08037,3,2.42959,0.710408,-2.89631,-0.970786,-3.86709,2.20226,1.61248,-6.71105,3.8453,2.9775,1.04892,-3.25996,0.0497284,-3.21024,3.25164,1.97348,-8.48509,7,6.42959,0.710408,-2.89631,-0.970786,-3.86709,2.20226,1.61248,-6.71105,3.8453,2.9775,1.04892,-3.25996,0.0497284,-3.21024,3.25164,1.97348,-8.48509
1.3,5,4.55717,0.570409,-2.7678,-1.15824,-3.92605,1.76827,1.62388,-6.15995,7.3094,6.47168,1.02083,-3.27891,0.020971,-3.25794,3.16456,2.13583,-8.5793,3,2.55717,0.570409,-2.7678,-1.15824,-3.92605,1.76827,1.62388,-6.15995,3.8453,3.14545,0.867797,-3.28832,-0.610081,-3.8984,2.69017,1.99084,-7.96932,7,6.55717,0.570409,-2.7678,-1.15824,-3.92605,1.76827,1.62388,-6.15995,3.8453,3.14545,0.867797,-3.28832,-0.610081,-3.8984,2.69017,1.99084,-7.96932
1.35,5,4.67269,0.442829,-2.60802,-1.27484,-3.88286,1.37277,1.63274,-5.61353,7.3094,6.64131,0.837723,-3.30698,-0.698592,-4.00558,2.59694,2.15259,-8.05651,3,2.67269,0.442829,-2.60802,-1.27484,-3.88286,1.37277,1.63274,-5.61353,3.8453,3.29974,0.699849,-3.21532,-0.988047,-4.20337,2.16953,2.00483,-7.38969,7,6.67269,0.442829,-2.60802,-1.27484,-3.88286,1.37277,1.63274,-5.61353,3.8453,3.29974,0.699849,-3.21532,-0.988047,-4.20337,2.16953,2.00483,-7.38969
1.4,5,4.77663,0.327313,-2.42873,-1.35363,-3.78236,1.01467,1.63929,-5.08268,7.3094,6.7971,0.668096,-3.22653,-1.0364,-4.26294,2.0711,2.16595,-7.46358,3,2.77663,0.327313,-2.42873,-1.35363,-3.78236,1.01467,1.63929,-5.08268,3.8453,3.44049,0.545559,-3.0818,-1.18411,-4.2659,1.69123,2.01574,-6.78877,7,6.77663,0.327313,-2.42873,-1.35363,-3.78236,1.01467,1.63929,-5.08268,3.8453,3.44049,0.545559,-3.0818,-1.18411,-4.2659,1.69123,2.01574,-6.78877
1.45,5,4.86958,0.223375,-2.23708,-1.39853,-3.63561,0.692461,1.64375,-4.57329,7.3094,6.93922,0.512306,-3.09042,-1.21611,-4.30654,1.58815,2.1762,-6.85477,3,2.86958,0.223375,-2.23708,-1.39853,-3.63561,0.692461,1.64375,-4.57329,3.8453,3.5681,0.404806,-2.91439,-1.30306,-4.21745,1.2549,2.02384,-6.19313,7,6.86958,0.223375,-2.23708,-1.39853,-3.63561,0.692461,1.64375,-4.57329,3.8453,3.5681,0.404806,-2.91439,-1.30306,-4.21745,1.2549,2.02384,-6.19313
