Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
1,5,2.94948,2.22004,-3.70528,1.5,-2.20528,6.88212,-2.83348,-7.75391,7.3094,4.21691,3.27262,-3.64659,1.5,-2.14659,10.1451,-5.57416,-8.21757,3,0.950786,2.21887,-3.71552,1.5,-2.21552,6.87851,-2.8336,-7.76043,3.8453,1.0289,2.99385,-3.64656,1.5,-2.14656,9.28093,-4.83041,-8.09709,7,4.95079,2.21887,-3.71552,1.5,-2.21552,6.87851,-2.8336,-7.76043,3.8453,1.0289,2.99385,-3.64656,1.5,-2.14656,9.28093,-4.83041,-8.09709
1.05,5,3.11174,2.05052,-3.89451,1.5,-2.39451,6.35663,-2.79247,-7.45866,7.3094,4.38981,3.0925,-3.85115,1.5,-2.35115,9.58674,-5.51231,-7.92558,3,1.11319,2.04921,-3.90511,1.5,-2.40511,6.35256,-2.79262,-7.46506,3.8453,1.19918,2.8164,-3.85093,1.5,-2.35093,8.73084,-4.77408,-7.8077,7,5.11319,2.04921,-3.90511,1.5,-2.40511,6.35256,-2.79262,-7.46506,3.8453,1.19918,2.8164,-3.85093,1.5,-2.35093,8.73084,-4.77408,-7.8077
1.1,5,3.26615,1.88826,-4.04062,1.26189,-2.77872,5.85361,-2.75471,-7.13952,7.3094,4.55505,2.91959,-4.01099,1.5,-2.51099,9.05073,-5.45391,-7.60781,3,1.26773,1.88681,-4.05146,1.25897,-2.7925,5.84912,-2.75488,-7.1457,3.8453,1.36186,2.64612,-4.01071,1.5,-2.51071,8.20296,-4.72116,-7.49252,7,5.26773,1.88681,-4.05146,1.25897,-2.7925,5.84912,-2.75488,-7.1457,3.8453,1.36186,2.64612,-4.01071,1.5,-2.51071,8.20296,-4.72116,-7.49252
1.15,5,3.41206,1.73385,-4.1391,0.971499,-3.1676,5.37495,-2.72003,-6.79401,7.3094,4.71233,2.75435,-4.13111,1.5,-2.63111,8.53847,-5.39883,-7.27076,3,1.41376,1.73227,-4.14995,0.968729,-3.18122,5.37004,-2.72023,-6.79976,3.8453,1.51663,2.48344,-4.13082,1.5,-2.63082,7.69865,-4.67149,-7.15799,7,5.41376,1.73227,-4.14995,0.968729,-3.18122,5.37004,-2.72023,-6.79976,3.8453,1.51663,2.48344,-4.13082,1.5,-2.63082,7.69865,-4.67149,-7.15799
1.2,5,3.5489,1.58794,-4.186,0.731245,-3.45476,4.9226,-2.68827,-6.42033,7.3094,4.86144,2.59707,-4.2161,1.5,-2.7161,8.05092,-5.34689,-6.92013,3,1.55071,1.58624,-4.19667,0.728619,-3.46805,4.91734,-2.68851,-6.4255,3.8453,1.66329,2.32867,-4.21583,1.5,-2.71583,7.21887,-4.62491,-6.80979,7,5.55071,1.58624,-4.19667,0.728619,-3.46805,4.91734,-2.68851,-6.4255,3.8453,1.66329,2.32867,-4.21583,1.5,-2.71583,7.21887,-4.62491,-6.80979
1.25,5,3.6762,1.4511,-4.18186,0.530929,-3.65093,4.4984,-2.65925,-6.021,7.3094,5.00229,2.44796,-4.27015,1.5,-2.77015,7.58867,-5.29793,-6.5609,3,1.67808,1.44929,-4.1922,0.528436,-3.66376,4.49281,-2.65952,-6.02549,3.8453,1.80173,2.18201,-4.26989,1.5,-2.76989,6.76424,-4.58127,-6.45286,7,5.67808,1.44929,-4.1922,0.528436,-3.66376,4.49281,-2.65952,-6.02549,3.8453,1.80173,2.18201,-4.26989,1.5,-2.76989,6.76424,-4.58127,-6.45286
1.3,5,3.79361,1.3238,-4.12988,0.362981,-3.7669,4.10379,-2.63277,-5.6009,7.3094,5.13486,2.30711,-4.29704,1.5,-2.79704,7.15205,-5.25178,-6.1973,3,1.79556,1.32192,-4.13979,0.360612,-3.77918,4.09794,-2.63308,-5.60464,3.8453,1.93193,2.04357,-4.29675,1.5,-2.79675,6.33507,-4.5404,-6.09142,7,5.79556,1.32192,-4.13979,0.360612,-3.77918,4.09794,-2.63308,-5.60464,3.8453,1.93193,2.04357,-4.29675,1.5,-2.79675,6.33507,-4.5404,-6.09142
1.35,5,3.90093,1.20639,-4.0348,0.221643,-3.81316,3.73982,-2.60865,-5.16597,7.3094,5.25919,2.17455,-4.30012,1.5,-2.80012,6.74109,-5.20829,-5.83292,3,1.90294,1.20444,-4.04419,0.219391,-3.8248,3.73376,-2.609,-5.16895,3.8453,2.0538,1.91336,-4.29977,1.31316,-2.98661,5.93143,-4.50213,-5.72907,7,5.90294,1.20444,-4.04419,0.219391,-3.8248,3.73376,-2.609,-5.16895,3.8453,2.0538,1.91336,-4.29977,1.31316,-2.98661,5.93143,-4.50213,-5.72907
1.4,5,3.99813,1.09907,-3.90205,0.102448,-3.7996,3.4071,-2.58667,-4.72248,7.3094,5.3754,2.05021,-4.2824,1.5,-2.7824,6.35565,-5.16729,-5.47076,3,2.00016,1.09706,-3.91085,0.100306,-3.81054,3.40089,-2.58705,-4.72468,3.8453,2.16713,1.7915,-4.27459,1.07517,-3.19942,5.55366,-4.4663,-5.36194,7,6.00016,1.09706,-3.91085,0.100306,-3.81054,3.40089,-2.58705,-4.72468,3.8453,2.16713,1.7915,-4.27459,1.07517,-3.19942,5.55366,-4.4663,-5.36194
1.45,5,4.08525,1.00187,-3.73727,0.00187415,-3.7354,3.10581,-2.56663,-4.27645,7.3094,5.48352,1.934,-4.24651,1.35624,-2.89027,5.9954,-5.12861,-5.1133,3,2.08731,0.999836,-3.74548,-0.00110803,-3.74658,3.09949,-2.56706,-4.27791,3.8453,2.27173,1.67817,-4.21687,0.876259,-3.34061,5.20234,-4.43274,-4.98647,7,6.08731,0.999836,-3.74548,-0.00110803,-3.74658,3.09949,-2.56706,-4.27791,3.8453,2.27173,1.67817,-4.21687,0.876259,-3.34061,5.20234,-4.43274,-4.98647
1.5,5,4.16218,0.91475,-3.54602,-0.443198,-3.98922,2.83572,-2.54833,-3.83341,7.3094,5.58349,1.82588,-4.18918,1.1396,-3.04958,5.66022,-5.09209,-4.75731,3,2.16424,0.912695,-3.55366,-0.451382,-4.00504,2.82935,-2.5488,-3.83421,3.8453,2.36748,1.57357,-4.12595,0.709147,-3.4168,4.87805,-4.40127,-4.60273,7,6.16424,0.912695,-3.55366,-0.451382,-4.00504,2.82935,-2.5488,-3.83421,3.8453,2.36748,1.57357,-4.12595,0.709147,-3.4168,4.87805,-4.40127,-4.60273
1.55,5,4.22887,0.837816,-3.31944,-0.698336,-4.01777,2.59723,-2.53158,-3.38509,7.3094,5.67523,1.72591,-4.10581,0.957628,-3.14818,5.35032,-5.05757,-4.39856,3,2.23091,0.83576,-3.32638,-0.703958,-4.03033,2.59085,-2.53209,-3.38514,3.8453,2.45431,1.47782,-4.00342,0.568338,-3.43509,4.58123,-4.37171,-4.21294,7,6.23091,0.83576,-3.32638,-0.703958,-4.03033,2.59085,-2.53209,-3.38514,3.8453,2.45431,1.47782,-4.00342,0.568338,-3.43509,4.58123,-4.37171,-4.21294
1.6,5,4.28554,0.771132,-3.05973,-0.671672,-3.7314,2.39051,-2.51615,-2.93408,7.3094,5.75868,1.63418,-3.99527,0.804171,-3.19109,5.06595,-5.02489,-4.03632,3,2.28755,0.76909,-3.066,-0.675321,-3.74132,2.38418,-2.51671,-2.93347,3.8453,2.53225,1.39099,-3.85231,0.449582,-3.40273,4.31206,-4.34389,-3.82048,7,6.28755,0.76909,-3.066,-0.675321,-3.74132,2.38418,-2.51671,-2.93347,3.8453,2.53225,1.39099,-3.85231,0.449582,-3.40273,4.31206,-4.34389,-3.82048
1.65,5,4.33257,0.714465,-2.78041,-0.710199,-3.49061,2.21484,-2.50186,-2.49339,7.3094,5.83386,1.55072,-3.85861,0.674553,-3.18405,4.80724,-4.99388,-3.67197,3,2.33455,0.712448,-2.78611,-0.713888,-3.5,2.20859,-2.50246,-2.49224,3.8453,2.6014,1.31305,-3.67636,0.349525,-3.32684,4.07046,-4.31763,-3.42919,7,6.33455,0.712448,-2.78611,-0.713888,-3.5,2.20859,-2.50246,-2.49224,3.8453,2.6014,1.31305,-3.67636,0.349525,-3.32684,4.07046,-4.31763,-3.42919
1.7,5,4.37054,0.667428,-2.48911,-0.663647,-3.15276,2.06903,-2.48852,-2.06962,7.3094,5.90084,1.47554,-3.69816,0.56512,-3.13304,4.57418,-4.96436,-3.30797,3,2.37247,0.665448,-2.49428,-0.663043,-3.15733,2.06289,-2.48915,-2.06802,3.8453,2.66198,1.24389,-3.47959,0.265478,-3.21411,3.85607,-4.29275,-3.04291,7,6.37247,0.665448,-2.49428,-0.663043,-3.15733,2.06289,-2.48915,-2.06802,3.8453,2.66198,1.24389,-3.47959,0.265478,-3.21411,3.85607,-4.29275,-3.04291
1.75,5,4.40027,0.629463,-2.19504,-0.410943,-2.60599,1.95133,-2.47593,-1.67045,7.3094,5.95978,1.40856,-3.517,0.472968,-3.04403,4.36652,-4.93619,-2.94733,3,2.40216,0.627525,-2.19985,-0.410674,-2.61053,1.94533,-2.4766,-1.66858,3.8453,2.71424,1.18332,-3.26605,0.195252,-3.0708,3.66829,-4.26909,-2.66526,7,6.40216,0.627525,-2.19985,-0.410674,-2.61053,1.94533,-2.4766,-1.66858,3.8453,2.71424,1.18332,-3.26605,0.195252,-3.0708,3.66829,-4.26909,-2.66526
1.8,5,4.4227,0.599727,-1.91315,-0.267635,-2.18078,1.85915,-2.46393,-1.30837,7.3094,6.01089,1.34962,-3.31858,0.395739,-2.92284,4.18382,-4.9092,-2.5932,3,2.42454,0.597836,-1.91766,-0.267126,-2.18478,1.85329,-2.46464,-1.30631,3.8453,2.75852,1.13106,-3.03969,0.137046,-2.90264,3.50628,-4.24647,-2.29951,7,6.42454,0.597836,-1.91766,-0.267126,-2.18478,1.85329,-2.46464,-1.30631,3.8453,2.75852,1.13106,-3.03969,0.137046,-2.90264,3.50628,-4.24647,-2.29951
1.85,5,4.43873,0.577296,-1.64975,-0.196823,-1.84657,1.78962,-2.45239,-0.986978,7.3094,6.05444,1.29852,-3.10645,0.331501,-2.77495,4.0254,-4.88323,-2.24861,3,2.44052,0.575456,-1.65397,-0.196105,-1.85007,1.78391,-2.45313,-0.984748,3.8453,2.79529,1.08678,-2.80422,0.171672,-2.63255,3.369,-4.22473,-1.94849,7,6.44052,0.575456,-1.65397,-0.196105,-1.85007,1.78391,-2.45313,-0.984748,3.8453,2.79529,1.08678,-2.80422,0.171672,-2.63255,3.369,-4.22473,-1.94849
