Time,TargetX0,CurrentX0,VelX0,ErrorX0,PIDOutX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,VelY0,ErrorY0,PIDOutY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,VelX1,ErrorX1,PIDOutX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,VelY1,ErrorY1,PIDOutY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,VelX2,ErrorX2,PIDOutX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,VelY2,ErrorY2,PIDOutY2,PTermY2,ITermY2,DTermY2
1,5,1.30483,4.13775,3.69517,1.15753,5.85309,0.301617,-4.99718,7.3094,3.43516,4.32279,3.87425,1.2318,6.13558,0.315527,-5.21931,3,1.42061,1.7726,1.57939,0.490002,2.50203,0.129103,-2.14113,3.8453,1.82089,2.27206,2.02441,0.628068,3.20702,0.16548,-2.74443,7,4.36768,2.95434,2.63232,0.81667,4.17006,0.215171,-3.56856,3.8453,1.82089,2.27206,2.02441,0.628068,3.20702,0.16548,-2.74443
1.05,5,1.50975,4.09852,3.49025,0.888317,5.54276,0.310855,-4.9653,7.3094,3.6493,4.28285,3.6601,0.949231,5.81137,0.325213,-5.18735,3,1.50838,1.75553,1.49162,0.375016,2.36909,0.133051,-2.12712,3.8453,1.9334,2.25018,1.9119,0.480683,3.03662,0.170541,-2.72648,7,4.51397,2.92588,2.48603,0.625026,3.94848,0.221752,-3.54521,3.8453,1.9334,2.25018,1.9119,0.480683,3.03662,0.170541,-2.72648
1.1,5,1.71214,4.04775,3.28786,0.636727,5.23537,0.319581,-4.91822,7.3094,3.86084,4.23076,3.44856,0.6851,5.49015,0.334363,-5.13942,3,1.59506,1.73353,1.40494,0.267572,2.23742,0.13678,-2.10663,3.8453,2.04449,2.22198,1.8008,0.342965,2.86786,0.17532,-2.70021,7,4.65843,2.88921,2.34157,0.445953,3.72904,0.227967,-3.51105,3.8453,2.04449,2.22198,1.8008,0.342965,2.86786,0.17532,-2.70021
1.15,5,1.91147,3.98651,3.08853,0.40229,4.93179,0.327801,-4.8573,7.3094,4.06922,4.16765,3.24018,0.438919,5.17285,0.342985,-5.07691,3,1.68041,1.70706,1.31959,0.167469,2.10741,0.140293,-2.08023,3.8453,2.1539,2.18806,1.6914,0.214656,2.70121,0.179822,-2.66637,7,4.80069,2.8451,2.19931,0.279115,3.51235,0.233821,-3.46706,3.8453,2.1539,2.18806,1.6914,0.214656,2.70121,0.179822,-2.66637
1.2,5,2.10726,3.91582,2.89274,0.184515,4.6328,0.335522,-4.78381,7.3094,4.27395,4.0946,3.03545,0.210175,4.86027,0.351085,-5.00118,3,1.76424,1.67657,1.23576,0.0744958,1.97938,0.143592,-2.04848,3.8453,2.26135,2.14897,1.58395,0.0954863,2.5371,0.184051,-2.62567,7,4.9404,2.79429,2.0596,0.12416,3.29897,0.239319,-3.41413,3.8453,2.26135,2.14897,1.58395,0.0954863,2.5371,0.184051,-2.62567
1.25,5,2.29909,3.83666,2.70091,-0.0171129,4.33912,0.342754,-4.69898,7.3094,4.47458,4.01262,2.83482,-0.00166572,4.55318,0.358674,-4.91352,3,1.84637,1.64247,1.15363,-0.0115685,1.85364,0.146681,-2.01189,3.8453,2.36661,2.10527,1.47869,-0.0148281,2.37593,0.188011,-2.57877,7,5.07728,2.73746,1.92272,-0.0192809,3.08939,0.244468,-3.35314,3.8453,2.36661,2.10527,1.47869,-0.0148281,2.37593,0.188011,-2.57877
1.3,5,2.48659,3.74998,2.51341,-0.203124,4.05137,0.349506,-4.604,7.3094,4.67072,3.92271,2.63869,-0.197157,4.25223,0.365761,-4.81515,3,1.92662,1.60517,1.07338,-0.090952,1.73045,0.149565,-1.97097,3.8453,2.46948,2.05745,1.37582,-0.116579,2.21803,0.191708,-2.52632,7,5.21104,2.67528,1.78896,-0.151587,2.88409,0.249275,-3.28495,3.8453,2.46948,2.05745,1.37582,-0.116579,2.21803,0.191708,-2.52632
1.35,5,2.66942,3.65665,2.33058,-0.374066,3.77012,0.35579,-4.49997,7.3094,4.86201,3.82579,2.4474,-0.376868,3.95803,0.372358,-4.70725,3,2.00488,1.56503,0.995124,-0.163889,1.61006,0.152249,-1.9262,3.8453,2.56978,2.00601,1.27552,-0.210067,2.06373,0.195147,-2.46894,7,5.34146,2.60839,1.65854,-0.273148,2.68344,0.253748,-3.21034,3.8453,2.56978,2.00601,1.27552,-0.210067,2.06373,0.195147,-2.46894
1.4,5,2.8473,3.55752,2.1527,-0.530493,3.49587,0.361616,-4.38798,7.3094,5.04814,3.72275,2.26126,-0.541379,3.67109,0.378476,-4.59095,3,2.081,1.52243,0.919003,-0.230618,1.49269,0.154736,-1.87804,3.8453,2.66735,1.9514,1.17795,-0.295598,1.91328,0.198336,-2.40721,7,5.46833,2.53739,1.53167,-0.384363,2.48781,0.257894,-3.13007,3.8453,2.66735,1.9514,1.17795,-0.295598,1.91328,0.198336,-2.40721
1.45,5,3.01997,3.45339,1.98003,-0.672973,3.22905,0.366998,-4.26903,7.3094,5.22886,3.61442,2.08054,-0.69128,3.39189,0.384129,-4.4673,3,2.15488,1.47771,0.845117,-0.291382,1.3785,0.157034,-1.82692,3.8453,2.76206,1.89407,1.08324,-0.373483,1.76692,0.201281,-2.34168,7,5.59147,2.46284,1.40853,-0.485636,2.29751,0.261723,-3.04487,3.8453,2.76206,1.89407,1.08324,-0.373483,1.76692,0.201281,-2.34168
